公司全名,公司简称,公司规模,公司行业,职位性质,工作地址,薪资待遇,职位名称,工作经验,工作区域,职位福利,学历要求
北京数美时代科技有限公司,数美,150-500人,"企业服务,数据服务",全职,来广营,15k-30k,python研发工程师,1年以下,朝阳区,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",硕士
京东金融,京东金融,2000人以上,金融,全职,经海路,20k-40k,高级Python开发工程师,5-10年,大兴区,"['供应链金融', '消费金融', '众筹业务', '支付业务']",本科
路书（北京）科技有限公司,路书,50-150人,"移动互联网,旅游",全职,金台路,25k-40k,高级python研发工程师,5-10年,朝阳区,"['年度旅游', '五险一金', '弹性工作', '股票期权']",本科
北京优虎商务服务有限公司,老虎集团,150-500人,"移动互联网,金融",全职,太阳宫,18k-35k,Python工程师,3-5年,朝阳区,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",本科
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,"移动互联网,金融",全职,永泰庄,20k-30k,python开发工程师,5-10年,海淀区,"['股票期权', '16薪', '扁平化管理', '免费两餐']",大专
北京奥鹏远程教育中心有限公司,慕课网,50-150人,"移动互联网,教育",全职,长春桥,6k-8k,Python助教,1-3年,海淀区,"['节日礼物', '技能培训', '节日礼品卡', '月度团建']",本科
北京闪银奇异科技有限公司,闪银奇异,500-2000人,"移动互联网,金融",全职,,30k-45k,python工程师,不限,朝阳区,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",本科
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,"移动互联网,广告营销",全职,团结湖,20k-35k,python 高级工程师,3-5年,朝阳区,[],大专
北京车之家信息技术有限公司,汽车之家,2000人以上,"移动互联网,文化娱乐",全职,海淀黄庄,15k-25k,Python开发工程师,3-5年,海淀区,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",本科
北京汇游科技有限公司,汇游科技,15-50人,"移动互联网,旅游",全职,北苑路北,20k-30k,中高级Python开发工程师,3-5年,朝阳区,"['技能培训', '带薪年假', '绩效奖金', '年度旅游']",本科
北京奇艺世纪科技有限公司,爱奇艺,2000人以上,"广告营销,文化娱乐",全职,海淀黄庄,20k-30k,Python高级开发工程师,3-5年,海淀区,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",硕士
北京中公教育科技股份有限公司,中公教育,2000人以上,教育,全职,六道口,20k-30k,Python讲师,3-5年,海淀区,"['五险一金', '年终奖金', '绩效奖金', '岗位晋升']",本科
北京一览科技有限公司,一览科技,150-500人,"移动互联网,文化娱乐",全职,来广营,20k-40k,python开发工程师,3-5年,朝阳区,"['股票期权', '弹性工作', '领导好', '扁平管理']",本科
